Rank,Team,Age,W,L,Pythagorean Wins,Pythagorean Losses,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,OEFG%,OTOV%,OORB%,OFT/FGA,DEFG%,DTOV%,DDRB%,DFT/FGA,Arena
1.0,Utah Jazz*,28.5,52.0,20.0,55,17,9.25,-0.29,8.97,117.6,108.3,9.3,98.5,0.244,0.488,0.597,0.563,12.7,24.5,0.195,0.507,10.3,79.3,0.159,Vivint Smart Home Arena
2.0,Los Angeles Clippers*,28.8,47.0,25.0,49,23,6.18,-0.16,6.02,117.6,111.2,6.4,96.9,0.222,0.4,0.599,0.564,12.2,22.7,0.18600000000000003,0.531,11.9,79.1,0.18600000000000003,STAPLES Center
3.0,Phoenix Suns*,26.6,51.0,21.0,49,23,5.82,-0.15,5.67,117.2,111.3,5.9,97.2,0.212,0.392,0.597,0.564,11.5,20.8,0.177,0.534,12.4,78.5,0.19399999999999998,Phoenix Suns Arena
4.0,Milwaukee Bucks*,28.1,46.0,26.0,48,24,5.89,-0.32,5.57,117.2,111.4,5.8,102.2,0.233,0.40399999999999997,0.593,0.5660000000000001,12.0,23.3,0.177,0.536,11.5,79.7,0.157,Fiserv Forum
5.0,Philadelphia 76ers*,27.1,49.0,23.0,48,24,5.58,-0.31,5.28,113.2,107.6,5.6,99.5,0.293,0.34700000000000003,0.579,0.541,12.8,23.2,0.225,0.521,13.8,78.2,0.2,Wells Fargo Center
6.0,Denver Nuggets*,26.1,47.0,25.0,47,25,4.93,-0.11,4.82,117.1,112.1,5.0,97.1,0.21899999999999997,0.38299999999999995,0.588,0.557,12.1,24.7,0.17600000000000002,0.545,12.9,78.9,0.2,Ball Arena
7.0,Brooklyn Nets*,28.2,48.0,24.0,46,26,4.5,-0.27,4.24,118.3,113.8,4.5,99.5,0.258,0.413,0.61,0.575,12.2,21.4,0.20800000000000002,0.531,11.1,77.3,0.187,Barclays Center
8.0,Los Angeles Lakers*,28.2,42.0,30.0,42,30,2.79,-0.03,2.77,109.9,107.1,2.8,98.7,0.271,0.363,0.569,0.536,13.6,22.5,0.2,0.526,13.7,79.7,0.184,STAPLES Center
9.0,Dallas Mavericks*,26.3,42.0,30.0,41,31,2.26,-0.01,2.26,115.4,113.0,2.4,97.3,0.242,0.436,0.5820000000000001,0.55,11.1,21.1,0.18899999999999997,0.534,11.5,77.8,0.19699999999999998,American Airlines Center
10.0,New York Knicks*,25.6,41.0,31.0,41,31,2.31,-0.18,2.13,110.6,108.2,2.4,95.9,0.242,0.34700000000000003,0.5589999999999999,0.524,11.9,21.9,0.19,0.509,11.7,78.6,0.196,Madison Square Garden (IV)
11.0,Atlanta Hawks*,25.4,41.0,31.0,41,31,2.32,-0.18,2.14,115.7,113.3,2.4,97.6,0.278,0.382,0.581,0.539,11.9,24.4,0.226,0.53,11.1,77.8,0.19,State Farm Arena
12.0,Portland Trail Blazers*,27.4,42.0,30.0,40,32,1.79,0.01,1.81,117.8,116.0,1.8,98.4,0.23800000000000002,0.44799999999999995,0.5770000000000001,0.54,9.9,23.0,0.195,0.546,11.2,77.5,0.203,Moda Center
13.0,Boston Celtics*,25.1,36.0,36.0,39,33,1.46,-0.14,1.32,114.0,112.5,1.5,98.3,0.23399999999999999,0.409,0.574,0.5429999999999999,12.5,24.3,0.18100000000000002,0.539,12.8,78.1,0.215,TD Garden
14.0,Golden State Warriors,26.7,39.0,33.0,38,34,1.06,0.04,1.1,111.1,110.1,1.0,102.2,0.239,0.439,0.583,0.551,13.3,17.9,0.188,0.522,13.1,76.6,0.223,Chase Center
15.0,Memphis Grizzlies*,24.2,38.0,34.0,38,34,1.03,0.04,1.07,112.0,111.0,1.0,100.4,0.23199999999999998,0.342,0.56,0.528,11.6,24.2,0.179,0.535,13.1,78.3,0.196,FedEx Forum
16.0,Miami Heat*,27.4,40.0,32.0,36,36,0.03,-0.09,-0.06,111.2,111.2,0.0,96.6,0.252,0.43200000000000005,0.581,0.546,13.1,19.4,0.19899999999999998,0.542,13.8,77.9,0.183,AmericanAirlines Arena
17.0,Indiana Pacers,26.5,34.0,38.0,36,36,-0.04,-0.08,-0.13,112.4,112.4,0.0,101.6,0.22699999999999998,0.37200000000000005,0.575,0.542,11.9,20.2,0.18,0.531,12.7,74.9,0.201,Bankers Life Fieldhouse
18.0,New Orleans Pelicans,24.8,31.0,41.0,35,37,-0.29,0.1,-0.2,113.5,113.8,-0.3,100.1,0.293,0.342,0.57,0.537,12.7,26.3,0.214,0.55,11.9,80.0,0.18600000000000003,Smoothie King Center
19.0,Toronto Raptors,26.6,27.0,45.0,35,37,-0.47,-0.07,-0.54,112.0,112.5,-0.5,99.2,0.24100000000000002,0.444,0.5670000000000001,0.529,11.9,20.8,0.196,0.5429999999999999,14.4,76.3,0.23399999999999999,Amalie Arena
20.0,Chicago Bulls,25.6,31.0,41.0,34,38,-0.89,-0.05,-0.94,111.1,112.0,-0.9,99.0,0.19699999999999998,0.38299999999999995,0.575,0.547,13.6,22.3,0.156,0.5379999999999999,11.6,80.3,0.196,United Center
21.0,San Antonio Spurs,26.2,33.0,39.0,32,40,-1.74,0.15,-1.58,111.0,112.8,-1.8,98.9,0.243,0.314,0.5539999999999999,0.517,10.2,20.0,0.192,0.541,11.8,77.3,0.174,AT&T Center
22.0,Washington Wizards*,26.6,34.0,38.0,32,40,-1.83,-0.01,-1.85,111.2,113.0,-1.8,104.1,0.28800000000000003,0.319,0.569,0.531,12.3,21.3,0.221,0.539,12.5,77.6,0.217,Capital One Arena
23.0,Charlotte Hornets,24.6,33.0,39.0,32,40,-1.93,-0.01,-1.94,110.9,112.8,-1.9,98.3,0.23800000000000002,0.42200000000000004,0.564,0.532,13.3,23.5,0.18100000000000002,0.55,13.2,75.7,0.163,Spectrum Center
24.0,Sacramento Kings,25.6,31.0,41.0,28,44,-3.68,0.23,-3.45,113.6,117.2,-3.6,100.0,0.248,0.376,0.578,0.5489999999999999,12.0,21.3,0.185,0.557,12.1,75.0,0.19899999999999998,Golden 1 Center
25.0,Detroit Pistons,24.5,20.0,52.0,26,46,-4.47,0.09,-4.38,108.0,112.5,-4.5,97.9,0.273,0.385,0.556,0.519,13.5,21.9,0.207,0.541,12.6,76.9,0.195,Little Caesars Arena
26.0,Minnesota Timberwolves,23.2,23.0,49.0,24,48,-5.56,0.31,-5.25,109.5,115.0,-5.5,101.6,0.254,0.413,0.555,0.52,12.4,22.7,0.193,0.556,13.3,76.8,0.207,Target Center
27.0,Houston Rockets,26.5,17.0,55.0,20,52,-7.9,0.4,-7.5,107.1,114.9,-7.8,101.4,0.252,0.45899999999999996,0.5529999999999999,0.521,13.0,19.8,0.187,0.555,12.9,77.1,0.201,Toyota Center
28.0,Cleveland Cavaliers,24.0,22.0,50.0,18,54,-8.44,0.25,-8.19,105.8,114.4,-8.6,97.3,0.261,0.34700000000000003,0.5429999999999999,0.508,13.9,23.6,0.19399999999999998,0.556,13.0,76.6,0.183,Quicken Loans Arena
29.0,Orlando Magic,25.6,21.0,51.0,17,55,-9.31,0.29,-9.02,105.1,114.5,-9.4,98.7,0.24,0.35600000000000004,0.527,0.49,11.5,21.6,0.18600000000000003,0.547,11.5,78.2,0.16899999999999998,Amway Center
30.0,Oklahoma City Thunder,22.8,22.0,50.0,15,57,-10.64,0.51,-10.13,103.5,114.0,-10.5,101.0,0.242,0.39899999999999997,0.539,0.509,14.2,21.2,0.17600000000000002,0.547,11.5,77.9,0.16699999999999998,Chesapeake Energy Arena
